"","CARRIER","FOOD_DRINK","ENTERTAINMENT","SEAT_COMFORT","STUFF_SERVICE","VALUE_FOR_MONEY"
"1","American Airlines",2,2,2,2,2
"2","Alaska Airlines",3,2,3,4,3
"3","JetBlue Airways",3,3,4,3,3
"4","Delta Air Lines",3,3,3,3,3
"5","Atlantic Southeast Airlines",2,1,2,2,2
"6","Frontier Airlines",3,3,3,4,3
"7","Hawaiian Airlines",1,1,3,4,3
"8","American Eagle Airlines",2,2,2,3,2
"9","Spirit Air Lines",2,2,3,3,3
"10","SkyWest Airlines",3,4,4,3,4
"11","United Air Lines",3,3,3,4,3
"12","US Airways",2,1,2,2,2
"13","Virgin America",2,2,3,3,3
"14","Southwest",2,2,3,3,3
