"","X","n"
"American Airlines","American Airlines",108
"Alaska Airlines","Alaska Airlines",20
"JetBlue Airways","JetBlue Airways",4
"Delta Air Lines","Delta Air Lines",96
"Atlantic Southeast Airlines","Atlantic Southeast Airlines",10
"Frontier Airlines","Frontier Airlines",11
"Hawaiian Airlines","Hawaiian Airlines",2
"American Eagle","American Eagle",59
"Spirit Airlines","Spirit Airlines",1
"SkyWest Airlines","SkyWest Airlines",23
"US Airways","US Airways",22
"United Airlines","United Airlines",74
"Southwest Airlines","Southwest Airlines",41
